# 二刀流選手（投手としても野手としても獲得できる選手）
#
# NPB公式の個人成績は「規定到達者」だけなので、
# 二刀流選手の投打どちらかが載らないことがある。
# そこでこのファイルに、投打の両方をまとめて書く。
#
# ・ここに書いた「選手名＋年度」は、通常の投手データより優先される
#   （同じ選手が投手カードと二刀流カードで二重に出ることはない）
# ・数字はすべてNPB公式の実績値を書くこと。分からない数字を想像で埋めないこと
# ・追記したら  node tools/build-players.js  を実行すると反映される
#
# 【書き方の見本】
# 矢澤 宏太	2024	日本ハム	中	120	.230	2	10	.300	.330	15	40	2	3	3.50	35
#   → 選手名 / 年度 / チーム / 野手のときの守備位置 / 打席 / 打率 / 本塁打 / 打点 /
#      出塁率 / 長打率 / 登板 / 投球回 / 勝 / 敗 / 防御率 / 奪三振
#   （見本の数字はデタラメなので、そのままコピーしないこと）
#
選手名	年度	チーム	野手ポジション	打席	打率	本塁打	打点	出塁率	長打率	登板	投球回	勝	敗	防御率	奪三振
大谷 翔平	2013	日本ハム	右	204	.238	3	20	.284	.376	13	61.2	3	0	4.23	46
大谷 翔平	2014	日本ハム	右	234	.274	10	31	.338	.505	24	155.1	11	4	2.61	179
大谷 翔平	2015	日本ハム	右	119	.202	5	17	.252	.376	22	160.2	15	5	2.24	196
大谷 翔平	2016	日本ハム	右	382	.322	22	67	.416	.588	21	140	10	4	1.86	174
大谷 翔平	2017	日本ハム	右	231	.332	8	31	.403	.540	5	25.1	3	2	3.20	29
